iter	Passed	Remaining
399	54897	13724
400	54946	13565
401	54993	13406
402	55036	13246
403	55082	13089
404	55132	12932
405	55184	12776
406	55234	12621
407	55287	12466
408	55344	12313
409	55401	12161
410	55450	12007
411	55504	11855
412	55555	11702
413	55617	11553
414	55681	11404
415	55742	11255
416	55804	11107
417	55873	10960
418	55941	10814
419	56001	10666
420	56048	10517
421	56099	10369
422	56153	10221
423	56216	10076
424	56280	9931
425	56333	9785
426	56387	9640
427	56439	9494
428	56504	9351
429	56562	9207
430	56602	9061
431	56647	8916
432	56678	8770
433	56710	8624
434	56742	8478
435	56772	8333
436	56804	8189
437	56835	8045
438	56869	7902
439	56902	7759
440	56933	7616
441	56968	7475
442	57001	7334
443	57033	7193
444	57064	7052
445	57096	6913
446	57125	6773
447	57155	6634
448	57184	6495
449	57216	6357
450	57247	6219
451	57279	6082
452	57312	5946
453	57344	5810
454	57376	5674
455	57406	5539
456	57438	5404
457	57469	5270
458	57502	5136
459	57531	5002
460	57563	4869
461	57595	4737
462	57625	4605
463	57658	4473
464	57691	4342
465	57724	4211
466	57756	4081
467	57787	3951
468	57818	3821
469	57850	3692
470	57882	3563
471	57912	3435
472	57946	3307
473	57978	3180
474	58009	3053
475	58038	2926
476	58069	2800
477	58102	2674
478	58135	2548
479	58167	2423
480	58196	2298
481	58226	2174
482	58256	2050
483	58285	1926
484	58314	1803
485	58345	1680
486	58375	1558
487	58405	1436
488	58437	1314
489	58468	1193
490	58502	1072
491	58532	951
492	58563	831
493	58595	711
494	58626	592
495	58659	473
496	58749	354
497	58801	236
498	58833	117
499	58864	0
