iter	Logloss
0	0.6641068988
1	0.6431148571
2	0.654880175833	0.646262403344	0.638185219355	0.629584023566	0.6193667537	7	0.6085910278	8	0.5972786489	9	0.592732833110	0.5883590782111	0.5837863361212	0.5747686821313	0.5709470601414	0.5675072351515	0.5650589691616	0.55778856417	0.5265011595
18	0.5236085532
19	0.5214485552
20	0.5173548404
21	0.5138275143
22	0.5097363473
23	0.5076579051
24	0.5044818877
25	0.5036709436
26	0.5014418458
27	0.499208615
28	0.4960244087
29	0.4945733943
30	0.4929747819
31	0.4925094722
32	0.490129978
33	0.4881504318
34	0.4876606616
35	0.485725349
36	0.485038132
37	0.4839361396
38	0.4833995286
39	0.4828553633
4040	0.5091913134141	0.5086108864242	0.5081344833
43	0.507798676
44	0.5074628672
45	0.5068245564
46	0.5064262445
47	0.5043490655
48	0.5040328074
49	0.5036755925
50	0.5022740177
51	0.50165346
52	0.501363871
53	0.5009231179
54	0.5006242541
55	0.4994218432
56	0.4988397525
57	0.4985567093
58	0.4982710238
59	0.4980035826
60	0.4976502792
61	0.4965363248
62	0.4958225015
63	0.4956234767
64	0.4953327478
65	0.4950576615
66	0.4936319875
67	0.4933475626
68	0.493146168
69	0.4929250179
70	0.4925989365
71	0.4921111261
72	0.4918812708
73	0.4916924896
74	0.4914825689
75	0.4909974226
76	0.4897348103
77	0.4893636706
78	0.4892160625
79	0.4882904095
80	0.4879682454
81	0.4877730514
82	0.4871575097
83	0.4869282443
84	0.4867482523
85	0.486071795
86	0.4858681688
87	0.4856337754
88	0.4854569458
89	0.4853521189
90	0.4851877726
91	0.4849638794
92	0.4847805968
93	0.4844308283
94	0.4842638527
95	0.4835287345
96	0.483398591
97	0.4832221862
98	0.4829641293
99	0.4827643441
100	0.4821373461
101	0.4819867636
102	0.481832371
103	0.4816639151
104	0.4810511393
105	0.48086391
106	0.4806930156
107	0.480560331
108	0.4797478396
109	0.4794892886
110	0.4793219254
111	0.4791978474
112	0.4789149411
113	0.4787506291
114	0.4785327012
115	0.4784257903
116	0.4774105559
117	0.4772014236
118	0.477072701
119	0.4768888811
120	0.4766932092
121	0.4765739514
122	0.47646195
123	0.4763059896
124	0.4761198387
125	0.4759456564
126	0.4758082843
127	0.4756771458
128	0.4755332746
129	0.4754092921
130	0.475042422
131	0.474934764
132	0.4747828063
133	0.4746745681
134	0.4745532901
135	0.4732418595
136	0.4731196349
137	0.4729896182
138	0.4728608111
139	0.4726837546
140	0.4725580041
141	0.4718396762
142	0.4717026026
143	0.4715456614
144	0.4714147299
145	0.4711768205
146	0.4710476675
147	0.4708636546
148	0.4707404432
149	0.470459144
150	0.4703360058
151	0.4701763337
152	0.4700805449
153	0.4698863307
154	0.4689369022
155	0.4688283061
156	0.4680645618
157	0.4679559526
158	0.4678248713
159	0.4676707358
160	0.4675330213
161	0.4674075277
162	0.4672759137
163	0.4671426549
164	0.4670020215
165	0.4669003142
166	0.4667498165
167	0.466584116
168	0.4665120378
169	0.4664208886
170	0.4659375393
171	0.4658330492
172	0.4657309878
173	0.4656109182
174	0.4654798731
175	0.4653349013
176	0.4652087365
177	0.4650755357
178	0.4649711264
179	0.4648632484
180	0.4643119158
181	0.4641825521
182	0.4640063271
183	0.4629144664
184	0.4628108319
185	0.4626970973
186	0.462602762
187	0.4624751608
188	0.462375508
189	0.4622831747
190	0.4622125009
191	0.4620917101
192	0.4619702686
193	0.4618589092
194	0.4614539343
195	0.4613256984
196	0.4612003704
197	0.4610821724
198	0.4609719282
199	0.4608397228
200	0.4606814397
201	0.4605579205
202	0.4604748578
203	0.4603480903
204	0.4601728529
205	0.4600195622
206	0.4598768764
207	0.4597247451
208	0.4594947777
209	0.4593808913
210	0.4592653268
211	0.4591743489
212	0.4590272048
213	0.4588513924
214	0.458695243
215	0.4585920599
216	0.4584691745
217	0.4581543767
218	0.458029237
219	0.457924982
220	0.4578059891
221	0.4576845071
222	0.4575393566
223	0.4574140231
224	0.4569891874
225	0.4568804153
226	0.4563444693
227	0.4562280919
228	0.4561320869
229	0.4560348808
230	0.4559221526
231	0.4557909706
232	0.4556470199
233	0.4555016675
234	0.4553951827
235	0.4550663866
236	0.4549115973
237	0.4547903369
238	0.4546483446
239	0.4544599203
240	0.4543669332
241	0.4542032846
242	0.4540852307
243	0.45398473
244	0.4538827375
245	0.4537183155
246	0.4535778966
247	0.4534140284
248	0.4533010242
249	0.4528945615
250	0.4527502599
251	0.452619754
252	0.4524656657
253	0.452331195
254	0.4521941789
255	0.4520470205
256	0.4519224019
257	0.451828604
258	0.4516742885
259	0.4515113634
260	0.4513534071
261	0.4512421932
262	0.4509144655
263	0.4507794321
264	0.4506274907
265	0.4504897847
266	0.4503227216
267	0.4501670892
268	0.4500425107
269	0.4498945093
270	0.4497745967
271	0.4495998217
272	0.4495097754
273	0.4493328113
274	0.4491904157
275	0.4490250096
276	0.4488404137
277	0.4486051514
278	0.4484938639
279	0.4479692707
280	0.4478455075
281	0.4476725415
282	0.4475260632
283	0.4474197445
284	0.4472926717
285	0.4471542793
286	0.447008748
287	0.4468930755
288	0.4467384041
289	0.4465994464
290	0.4464537718
291	0.4463086025
292	0.4461499153
293	0.4460421294
294	0.4459350098
295	0.445832195
296	0.4456759313
297	0.4455968699
298	0.4454928964
299	0.4453450394
300	0.4452135229
301	0.445087711
302	0.4449317916
303	0.4448030258
304	0.4446822478
305	0.4439337135
306	0.4437972251
307	0.4436916362
308	0.4435563685
309	0.4434329331
310	0.4433252624
311	0.4431770178
312	0.4429804222
313	0.4428622646
314	0.4427551115
315	0.4426563515
316	0.4424836833
317	0.4423505038
318	0.4421797995
319	0.4420180445
320	0.4419260387
321	0.4418430681
322	0.4417169263
323	0.441582751
324	0.4414685114
325	0.4410661636
326	0.4409643873
327	0.4408579843
328	0.4406781386
329	0.4405561203
330	0.440457887
331	0.4403474445
332	0.4401615083
333	0.4400713915
334	0.439964076
335	0.4398465555
336	0.4397603275
337	0.4396510977
338	0.4393064366
339	0.4391644879
340	0.4390307099
341	0.4389447487
342	0.4388304383
343	0.4387243139
344	0.4386086319
345	0.4384835688
346	0.4384061621
347	0.4382705498
348	0.4381451298
349	0.4379947833
350	0.4378843276
351	0.4377993455
352	0.4376737773
353	0.4375512825
354	0.4374010948
355	0.437103284
356	0.4366798743
357	0.4365625607
358	0.4363960331
359	0.4362772068
360	0.4356095569
361	0.4352010071
362	0.4350924396
363	0.4349956312
364	0.4348785257
365	0.4347320509
366	0.434615721
367	0.4345216523
368	0.4344118459
369	0.4342616262
370	0.4341674817
371	0.4340405389
372	0.4339432716
373	0.4338240427
374	0.4337360551
375	0.4336341224
376	0.4335208474
377	0.4334066579
378	0.4332759669
379	0.4331445956
380	0.4330407081
381	0.4329512239
382	0.4328459221
383	0.4327084497
384	0.4325761937
385	0.4324757645
386	0.4323725948
387	0.4320634214
388	0.4319544588
389	0.431825089
390	0.431731637
391	0.4316257043
392	0.4315513452
393	0.431479304
394	0.4314018879
395	0.4313048213
396	0.4311687373
397	0.4310685196
398	0.4309819467
399	0.4308691605
400	0.4307907526
401	0.4306699534
402	0.4305619194
403	0.4304724475
404	0.4303588408
405	0.4302027216
406	0.4301139382
407	0.4300200394
408	0.4299000373
409	0.4297933726
410	0.4297041776
411	0.4295822641
412	0.4294580602
413	0.4293292923
414	0.4292501704
415	0.4291478284
416	0.4290403547
417	0.4289277343
418	0.428808355
419	0.4287342009
420	0.4286580165
421	0.4285472993
422	0.4284412777
423	0.428307866
424	0.4282205581
425	0.4281366864
426	0.4280414255
427	0.4279311924
428	0.4278215055
429	0.427436441
430	0.4273361116
431	0.4272657284
432	0.4271799487
433	0.4270375024
434	0.4269472372
435	0.4268699477
436	0.4267730643
437	0.426681159
438	0.4265165643
439	0.4263904693
440	0.4263160225
441	0.4261993611
442	0.4260912603
443	0.425975139
444	0.42585972
445	0.4257434784
446	0.4256387712
447	0.4255476591
448	0.4254468349
449	0.425342911
450	0.4252642674
451	0.4251297747
452	0.4250118049
453	0.4249214581
454	0.4247943581
455	0.4246844403
456	0.4245980256
457	0.424486412
458	0.4244099645
459	0.4243540311
460	0.4242502096
461	0.4241410797
462	0.423692991
463	0.4235999328
464	0.4235162497
465	0.4234013196
466	0.4232469006
467	0.4231198671
468	0.4230149399
469	0.422894998
